tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 61200 0.00001751 ecm:0.0000
etapa 61300 0.00001748 ecm:0.0000
etapa 61400 0.00001745 ecm:0.0000
etapa 61500 0.00001742 ecm:0.0000
etapa 61600 0.00001740 ecm:0.0000
etapa 61700 0.00001737 ecm:0.0000
etapa 61800 0.00001734 ecm:0.0000
etapa 61900 0.00001731 ecm:0.0000
etapa 62000 0.00001728 ecm:0.0000
etapa 62100 0.00001725 ecm:0.0000
etapa 62200 0.00001723 ecm:0.0000
etapa 62300 0.00001720 ecm:0.0000
etapa 62400 0.00001717 ecm:0.0000
etapa 62500 0.00001714 ecm:0.0000
etapa 62600 0.00001711 ecm:0.0000
etapa 62700 0.00001709 ecm:0.0000
etapa 62800 0.00001706 ecm:0.0000
etapa 62900 0.00001703 ecm:0.0000
etapa 63000 0.00001700 ecm:0.0000
etapa 63100 0.00001698 ecm:0.0000
etapa 63200 0.00001695 ecm:0.0000
etapa 63300 0.00001692 ecm:0.0000
etapa 63400 0.00001690 ecm:0.0000
etapa 63500 0.00001687 ecm:0.0000
etapa 63600 0.00001684 ecm:0.0000
etapa 63700 0.00001682 ecm:0.0000
etapa 63800 0.00001679 ecm:0.0000
etapa 63900 0.00001676 ecm:0.0000
etapa 64000 0.00001674 ecm:0.0000
etapa 64100 0.00001671 ecm:0.0000
etapa 64200 0.00001668 ecm:0.0000
etapa 64300 0.00001666 ecm:0.0000
etapa 64400 0.00001663 ecm:0.0000
etapa 64500 0.00001660 ecm:0.0000
etapa 64600 0.00001658 ecm:0.0000
etapa 64700 0.00001655 ecm:0.0000
etapa 64800 0.00001653 ecm:0.0000
etapa 64900 0.00001650 ecm:0.0000
etapa 65000 0.00001647 ecm:0.0000
etapa 65100 0.00001645 ecm:0.0000
etapa 65200 0.00001642 ecm:0.0000
etapa 65300 0.00001640 ecm:0.0000
etapa 65400 0.00001637 ecm:0.0000
etapa 65500 0.00001635 ecm:0.0000
etapa 65600 0.00001632 ecm:0.0000
etapa 65700 0.00001630 ecm:0.0000
etapa 65800 0.00001627 ecm:0.0000
etapa 65900 0.00001625 ecm:0.0000
etapa 66000 0.00001622 ecm:0.0000
etapa 66100 0.00001620 ecm:0.0000
etapa 66200 0.00001617 ecm:0.0000
etapa 66300 0.00001615 ecm:0.0000
etapa 66400 0.00001612 ecm:0.0000
etapa 66500 0.00001610 ecm:0.0000
etapa 66600 0.00001607 ecm:0.0000
etapa 66700 0.00001605 ecm:0.0000
etapa 66800 0.00001603 ecm:0.0000
etapa 66900 0.00001600 ecm:0.0000
etapa 67000 0.00001598 ecm:0.0000
etapa 67100 0.00001595 ecm:0.0000
etapa 67200 0.00001593 ecm:0.0000
etapa 67300 0.00001590 ecm:0.0000
etapa 67400 0.00001588 ecm:0.0000
etapa 67500 0.00001586 ecm:0.0000
etapa 67600 0.00001583 ecm:0.0000
etapa 67700 0.00001581 ecm:0.0000
etapa 67800 0.00001579 ecm:0.0000
etapa 67900 0.00001576 ecm:0.0000
etapa 68000 0.00001574 ecm:0.0000
etapa 68100 0.00001572 ecm:0.0000
etapa 68200 0.00001569 ecm:0.0000
etapa 68300 0.00001567 ecm:0.0000
etapa 68400 0.00001565 ecm:0.0000
etapa 68500 0.00001562 ecm:0.0000
etapa 68600 0.00001560 ecm:0.0000
etapa 68700 0.00001558 ecm:0.0000
etapa 68800 0.00001555 ecm:0.0000
etapa 68900 0.00001553 ecm:0.0000
etapa 69000 0.00001551 ecm:0.0000
etapa 69100 0.00001549 ecm:0.0000
etapa 69200 0.00001546 ecm:0.0000
etapa 69300 0.00001544 ecm:0.0000
etapa 69400 0.00001542 ecm:0.0000
etapa 69500 0.00001540 ecm:0.0000
etapa 69600 0.00001537 ecm:0.0000
etapa 69700 0.00001535 ecm:0.0000
etapa 69800 0.00001533 ecm:0.0000
etapa 69900 0.00001531 ecm:0.0000
etapa 70000 0.00001528 ecm:0.0000
etapa 70100 0.00001526 ecm:0.0000
etapa 70200 0.00001524 ecm:0.0000
etapa 70300 0.00001522 ecm:0.0000
etapa 70400 0.00001520 ecm:0.0000
etapa 70500 0.00001517 ecm:0.0000
etapa 70600 0.00001515 ecm:0.0000
etapa 70700 0.00001513 ecm:0.0000
etapa 70800 0.00001511 ecm:0.0000
etapa 70900 0.00001509 ecm:0.0000
etapa 71000 0.00001507 ecm:0.0000
etapa 71100 0.00001504 ecm:0.0000
etapa 71200 0.00001502 ecm:0.0000
etapa 71300 0.00001500 ecm:0.0000
etapa 71400 0.00001498 ecm:0.0000
etapa 71500 0.00001496 ecm:0.0000
etapa 71600 0.00001494 ecm:0.0000
etapa 71700 0.00001492 ecm:0.0000
etapa 71800 0.00001490 ecm:0.0000
etapa 71900 0.00001488 ecm:0.0000
etapa 72000 0.00001485 ecm:0.0000
etapa 72100 0.00001483 ecm:0.0000
etapa 72200 0.00001481 ecm:0.0000
etapa 72300 0.00001479 ecm:0.0000
etapa 72400 0.00001477 ecm:0.0000
etapa 72500 0.00001475 ecm:0.0000
etapa 72600 0.00001473 ecm:0.0000
etapa 72700 0.00001471 ecm:0.0000
etapa 72800 0.00001469 ecm:0.0000
etapa 72900 0.00001467 ecm:0.0000
etapa 73000 0.00001465 ecm:0.0000
etapa 73100 0.00001463 ecm:0.0000
etapa 73200 0.00001461 ecm:0.0000
etapa 73300 0.00001459 ecm:0.0000
etapa 73400 0.00001457 ecm:0.0000
etapa 73500 0.00001455 ecm:0.0000
etapa 73600 0.00001453 ecm:0.0000
etapa 73700 0.00001451 ecm:0.0000
etapa 73800 0.00001449 ecm:0.0000
etapa 73900 0.00001447 ecm:0.0000
etapa 74000 0.00001445 ecm:0.0000
etapa 74100 0.00001443 ecm:0.0000
etapa 74200 0.00001441 ecm:0.0000
etapa 74300 0.00001439 ecm:0.0000
etapa 74400 0.00001437 ecm:0.0000
etapa 74500 0.00001435 ecm:0.0000
etapa 74600 0.00001433 ecm:0.0000
etapa 74700 0.00001431 ecm:0.0000
etapa 74800 0.00001429 ecm:0.0000
etapa 74900 0.00001427 ecm:0.0000
etapa 75000 0.00001425 ecm:0.0000
etapa 75100 0.00001423 ecm:0.0000
etapa 75200 0.00001421 ecm:0.0000
etapa 75300 0.00001420 ecm:0.0000
etapa 75400 0.00001418 ecm:0.0000
etapa 75500 0.00001416 ecm:0.0000
etapa 75600 0.00001414 ecm:0.0000
etapa 75700 0.00001412 ecm:0.0000
etapa 75800 0.00001410 ecm:0.0000
etapa 75900 0.00001408 ecm:0.0000
etapa 76000 0.00001406 ecm:0.0000
etapa 76100 0.00001404 ecm:0.0000
etapa 76200 0.00001403 ecm:0.0000
etapa 76300 0.00001401 ecm:0.0000
etapa 76400 0.00001399 ecm:0.0000
etapa 76500 0.00001397 ecm:0.0000
etapa 76600 0.00001395 ecm:0.0000
etapa 76700 0.00001393 ecm:0.0000
etapa 76800 0.00001392 ecm:0.0000
etapa 76900 0.00001390 ecm:0.0000
etapa 77000 0.00001388 ecm:0.0000
etapa 77100 0.00001386 ecm:0.0000
etapa 77200 0.00001384 ecm:0.0000
etapa 77300 0.00001382 ecm:0.0000
etapa 77400 0.00001381 ecm:0.0000
etapa 77500 0.00001379 ecm:0.0000
etapa 77600 0.00001377 ecm:0.0000
etapa 77700 0.00001375 ecm:0.0000
etapa 77800 0.00001373 ecm:0.0000
etapa 77900 0.00001372 ecm:0.0000
etapa 78000 0.00001370 ecm:0.0000
etapa 78100 0.00001368 ecm:0.0000
etapa 78200 0.00001366 ecm:0.0000
etapa 78300 0.00001365 ecm:0.0000
etapa 78400 0.00001363 ecm:0.0000
etapa 78500 0.00001361 ecm:0.0000
etapa 78600 0.00001359 ecm:0.0000
etapa 78700 0.00001358 ecm:0.0000
etapa 78800 0.00001356 ecm:0.0000
etapa 78900 0.00001354 ecm:0.0000
etapa 79000 0.00001352 ecm:0.0000
etapa 79100 0.00001351 ecm:0.0000
etapa 79200 0.00001349 ecm:0.0000
etapa 79300 0.00001347 ecm:0.0000
etapa 79400 0.00001345 ecm:0.0000
etapa 79500 0.00001344 ecm:0.0000
etapa 79600 0.00001342 ecm:0.0000
etapa 79700 0.00001340 ecm:0.0000
etapa 79800 0.00001339 ecm:0.0000
etapa 79900 0.00001337 ecm:0.0000
etapa 80000 0.00001335 ecm:0.0000
etapa 80100 0.00001334 ecm:0.0000
etapa 80200 0.00001332 ecm:0.0000
etapa 80300 0.00001330 ecm:0.0000
etapa 80400 0.00001329 ecm:0.0000
etapa 80500 0.00001327 ecm:0.0000
etapa 80600 0.00001325 ecm:0.0000
etapa 80700 0.00001324 ecm:0.0000
etapa 80800 0.00001322 ecm:0.0000
etapa 80900 0.00001320 ecm:0.0000
etapa 81000 0.00001319 ecm:0.0000
etapa 81100 0.00001317 ecm:0.0000
etapa 81200 0.00001315 ecm:0.0000
etapa 81300 0.00001314 ecm:0.0000
etapa 81400 0.00001312 ecm:0.0000
etapa 81500 0.00001310 ecm:0.0000
etapa 81600 0.00001309 ecm:0.0000
etapa 81700 0.00001307 ecm:0.0000
etapa 81800 0.00001306 ecm:0.0000
etapa 81900 0.00001304 ecm:0.0000
etapa 82000 0.00001302 ecm:0.0000
etapa 82100 0.00001301 ecm:0.0000
etapa 82200 0.00001299 ecm:0.0000
etapa 82300 0.00001297 ecm:0.0000
etapa 82400 0.00001296 ecm:0.0000
etapa 82500 0.00001294 ecm:0.0000
etapa 82600 0.00001293 ecm:0.0000
etapa 82700 0.00001291 ecm:0.0000
etapa 82800 0.00001290 ecm:0.0000
etapa 82900 0.00001288 ecm:0.0000
etapa 83000 0.00001286 ecm:0.0000
etapa 83100 0.00001285 ecm:0.0000
etapa 83200 0.00001283 ecm:0.0000
etapa 83300 0.00001282 ecm:0.0000
etapa 83400 0.00001280 ecm:0.0000
etapa 83500 0.00001279 ecm:0.0000
etapa 83600 0.00001277 ecm:0.0000
etapa 83700 0.00001276 ecm:0.0000
etapa 83800 0.00001274 ecm:0.0000
etapa 83900 0.00001272 ecm:0.0000
etapa 84000 0.00001271 ecm:0.0000
etapa 84100 0.00001269 ecm:0.0000
etapa 84200 0.00001268 ecm:0.0000
etapa 84300 0.00001266 ecm:0.0000
etapa 84400 0.00001265 ecm:0.0000
etapa 84500 0.00001263 ecm:0.0000
etapa 84600 0.00001262 ecm:0.0000
etapa 84700 0.00001260 ecm:0.0000
etapa 84800 0.00001259 ecm:0.0000
etapa 84900 0.00001257 ecm:0.0000
etapa 85000 0.00001256 ecm:0.0000
etapa 85100 0.00001254 ecm:0.0000
etapa 85200 0.00001253 ecm:0.0000
etapa 85300 0.00001251 ecm:0.0000
etapa 85400 0.00001250 ecm:0.0000
etapa 85500 0.00001248 ecm:0.0000
etapa 85600 0.00001247 ecm:0.0000
etapa 85700 0.00001245 ecm:0.0000
etapa 85800 0.00001244 ecm:0.0000
etapa 85900 0.00001242 ecm:0.0000
etapa 86000 0.00001241 ecm:0.0000
etapa 86100 0.00001240 ecm:0.0000
etapa 86200 0.00001238 ecm:0.0000
etapa 86300 0.00001237 ecm:0.0000
etapa 86400 0.00001235 ecm:0.0000
etapa 86500 0.00001234 ecm:0.0000
etapa 86600 0.00001232 ecm:0.0000
etapa 86700 0.00001231 ecm:0.0000
etapa 86800 0.00001229 ecm:0.0000
etapa 86900 0.00001228 ecm:0.0000
etapa 87000 0.00001227 ecm:0.0000
etapa 87100 0.00001225 ecm:0.0000
etapa 87200 0.00001224 ecm:0.0000
etapa 87300 0.00001222 ecm:0.0000
etapa 87400 0.00001221 ecm:0.0000
etapa 87500 0.00001220 ecm:0.0000
etapa 87600 0.00001218 ecm:0.0000
etapa 87700 0.00001217 ecm:0.0000
etapa 87800 0.00001215 ecm:0.0000
etapa 87900 0.00001214 ecm:0.0000
etapa 88000 0.00001213 ecm:0.0000
etapa 88100 0.00001211 ecm:0.0000
etapa 88200 0.00001210 ecm:0.0000
etapa 88300 0.00001208 ecm:0.0000
etapa 88400 0.00001207 ecm:0.0000
etapa 88500 0.00001206 ecm:0.0000
etapa 88600 0.00001204 ecm:0.0000
etapa 88700 0.00001203 ecm:0.0000
etapa 88800 0.00001201 ecm:0.0000
etapa 88900 0.00001200 ecm:0.0000
etapa 89000 0.00001199 ecm:0.0000
etapa 89100 0.00001197 ecm:0.0000
etapa 89200 0.00001196 ecm:0.0000
etapa 89300 0.00001195 ecm:0.0000
etapa 89400 0.00001193 ecm:0.0000
etapa 89500 0.00001192 ecm:0.0000
etapa 89600 0.00001191 ecm:0.0000
etapa 89700 0.00001189 ecm:0.0000
etapa 89800 0.00001188 ecm:0.0000
etapa 89900 0.00001187 ecm:0.0000
etapa 90000 0.00001185 ecm:0.0000
etapa 90100 0.00001184 ecm:0.0000
etapa 90200 0.00001183 ecm:0.0000
etapa 90300 0.00001181 ecm:0.0000
etapa 90400 0.00001180 ecm:0.0000
etapa 90500 0.00001179 ecm:0.0000
etapa 90600 0.00001177 ecm:0.0000
etapa 90700 0.00001176 ecm:0.0000
etapa 90800 0.00001175 ecm:0.0000
etapa 90900 0.00001173 ecm:0.0000
etapa 91000 0.00001172 ecm:0.0000
etapa 91100 0.00001171 ecm:0.0000
etapa 91200 0.00001169 ecm:0.0000
etapa 91300 0.00001168 ecm:0.0000
etapa 91400 0.00001167 ecm:0.0000
etapa 91500 0.00001166 ecm:0.0000
etapa 91600 0.00001164 ecm:0.0000
etapa 91700 0.00001163 ecm:0.0000
etapa 91800 0.00001162 ecm:0.0000
etapa 91900 0.00001160 ecm:0.0000
etapa 92000 0.00001159 ecm:0.0000
etapa 92100 0.00001158 ecm:0.0000
etapa 92200 0.00001157 ecm:0.0000
etapa 92300 0.00001155 ecm:0.0000
etapa 92400 0.00001154 ecm:0.0000
etapa 92500 0.00001153 ecm:0.0000
etapa 92600 0.00001152 ecm:0.0000
etapa 92700 0.00001150 ecm:0.0000
etapa 92800 0.00001149 ecm:0.0000
etapa 92900 0.00001148 ecm:0.0000
etapa 93000 0.00001147 ecm:0.0000
etapa 93100 0.00001145 ecm:0.0000
etapa 93200 0.00001144 ecm:0.0000
etapa 93300 0.00001143 ecm:0.0000
etapa 93400 0.00001142 ecm:0.0000
etapa 93500 0.00001140 ecm:0.0000
etapa 93600 0.00001139 ecm:0.0000
etapa 93700 0.00001138 ecm:0.0000
etapa 93800 0.00001137 ecm:0.0000
etapa 93900 0.00001135 ecm:0.0000
etapa 94000 0.00001134 ecm:0.0000
etapa 94100 0.00001133 ecm:0.0000
etapa 94200 0.00001132 ecm:0.0000
etapa 94300 0.00001131 ecm:0.0000
etapa 94400 0.00001129 ecm:0.0000
etapa 94500 0.00001128 ecm:0.0000
etapa 94600 0.00001127 ecm:0.0000
etapa 94700 0.00001126 ecm:0.0000
etapa 94800 0.00001125 ecm:0.0000
etapa 94900 0.00001123 ecm:0.0000
etapa 95000 0.00001122 ecm:0.0000
etapa 95100 0.00001121 ecm:0.0000
etapa 95200 0.00001120 ecm:0.0000
etapa 95300 0.00001119 ecm:0.0000
etapa 95400 0.00001117 ecm:0.0000
etapa 95500 0.00001116 ecm:0.0000
etapa 95600 0.00001115 ecm:0.0000
etapa 95700 0.00001114 ecm:0.0000
etapa 95800 0.00001113 ecm:0.0000
etapa 95900 0.00001112 ecm:0.0000
etapa 96000 0.00001110 ecm:0.0000
etapa 96100 0.00001109 ecm:0.0000
etapa 96200 0.00001108 ecm:0.0000
etapa 96300 0.00001107 ecm:0.0000
etapa 96400 0.00001106 ecm:0.0000
etapa 96500 0.00001105 ecm:0.0000
etapa 96600 0.00001103 ecm:0.0000
etapa 96700 0.00001102 ecm:0.0000
etapa 96800 0.00001101 ecm:0.0000
etapa 96900 0.00001100 ecm:0.0000
etapa 97000 0.00001099 ecm:0.0000
etapa 97100 0.00001098 ecm:0.0000
etapa 97200 0.00001097 ecm:0.0000
etapa 97300 0.00001095 ecm:0.0000
etapa 97400 0.00001094 ecm:0.0000
etapa 97500 0.00001093 ecm:0.0000
etapa 97600 0.00001092 ecm:0.0000
etapa 97700 0.00001091 ecm:0.0000
etapa 97800 0.00001090 ecm:0.0000
etapa 97900 0.00001089 ecm:0.0000
etapa 98000 0.00001087 ecm:0.0000
etapa 98100 0.00001086 ecm:0.0000
etapa 98200 0.00001085 ecm:0.0000
etapa 98300 0.00001084 ecm:0.0000
etapa 98400 0.00001083 ecm:0.0000
etapa 98500 0.00001082 ecm:0.0000
etapa 98600 0.00001081 ecm:0.0000
etapa 98700 0.00001080 ecm:0.0000
etapa 98800 0.00001079 ecm:0.0000
etapa 98900 0.00001077 ecm:0.0000
etapa 99000 0.00001076 ecm:0.0000
etapa 99100 0.00001075 ecm:0.0000
etapa 99200 0.00001074 ecm:0.0000
etapa 99300 0.00001073 ecm:0.0000
etapa 99400 0.00001072 ecm:0.0000
etapa 99500 0.00001071 ecm:0.0000
etapa 99600 0.00001070 ecm:0.0000
etapa 99700 0.00001069 ecm:0.0000
etapa 99800 0.00001068 ecm:0.0000
etapa 99900 0.00001067 ecm:0.0000
etapa 100000 0.00001065 ecm:0.0000
etapa 100100 0.00001064 ecm:0.0000
etapa 100200 0.00001063 ecm:0.0000
etapa 100300 0.00001062 ecm:0.0000
etapa 100400 0.00001061 ecm:0.0000
etapa 100500 0.00001060 ecm:0.0000
etapa 100600 0.00001059 ecm:0.0000
etapa 100700 0.00001058 ecm:0.0000
etapa 100800 0.00001057 ecm:0.0000
etapa 100900 0.00001056 ecm:0.0000
etapa 101000 0.00001055 ecm:0.0000
etapa 101100 0.00001054 ecm:0.0000
etapa 101200 0.00001053 ecm:0.0000
etapa 101300 0.00001052 ecm:0.0000
etapa 101400 0.00001051 ecm:0.0000
etapa 101500 0.00001050 ecm:0.0000
etapa 101600 0.00001049 ecm:0.0000
etapa 101700 0.00001047 ecm:0.0000
etapa 101800 0.00001046 ecm:0.0000
etapa 101900 0.00001045 ecm:0.0000
etapa 102000 0.00001044 ecm:0.0000
etapa 102100 0.00001043 ecm:0.0000
etapa 102200 0.00001042 ecm:0.0000
etapa 102300 0.00001041 ecm:0.0000
etapa 102400 0.00001040 ecm:0.0000
etapa 102500 0.00001039 ecm:0.0000
etapa 102600 0.00001038 ecm:0.0000
etapa 102700 0.00001037 ecm:0.0000
etapa 102800 0.00001036 ecm:0.0000
etapa 102900 0.00001035 ecm:0.0000
etapa 103000 0.00001034 ecm:0.0000
etapa 103100 0.00001033 ecm:0.0000
etapa 103200 0.00001032 ecm:0.0000
etapa 103300 0.00001031 ecm:0.0000
etapa 103400 0.00001030 ecm:0.0000
etapa 103500 0.00001029 ecm:0.0000
etapa 103600 0.00001028 ecm:0.0000
etapa 103700 0.00001027 ecm:0.0000
etapa 103800 0.00001026 ecm:0.0000
etapa 103900 0.00001025 ecm:0.0000
etapa 104000 0.00001024 ecm:0.0000
etapa 104100 0.00001023 ecm:0.0000
etapa 104200 0.00001022 ecm:0.0000
etapa 104300 0.00001021 ecm:0.0000
etapa 104400 0.00001020 ecm:0.0000
etapa 104500 0.00001019 ecm:0.0000
etapa 104600 0.00001018 ecm:0.0000
etapa 104700 0.00001017 ecm:0.0000
etapa 104800 0.00001016 ecm:0.0000
etapa 104900 0.00001015 ecm:0.0000
etapa 105000 0.00001014 ecm:0.0000
etapa 105100 0.00001013 ecm:0.0000
etapa 105200 0.00001012 ecm:0.0000
etapa 105300 0.00001011 ecm:0.0000
etapa 105400 0.00001010 ecm:0.0000
etapa 105500 0.00001009 ecm:0.0000
etapa 105600 0.00001008 ecm:0.0000
etapa 105700 0.00001007 ecm:0.0000
etapa 105800 0.00001006 ecm:0.0000
etapa 105900 0.00001005 ecm:0.0000
etapa 106000 0.00001005 ecm:0.0000
etapa 106100 0.00001004 ecm:0.0000
etapa 106200 0.00001003 ecm:0.0000
etapa 106300 0.00001002 ecm:0.0000
etapa 106400 0.00001001 ecm:0.0000
etapa 106500 0.00001000 ecm:0.0000
etapa 106600 0.00000999 ecm:0.0000
etapa 106700 0.00000998 ecm:0.0000
etapa 106800 0.00000997 ecm:0.0000
etapa 106900 0.00000996 ecm:0.0000
etapa 107000 0.00000995 ecm:0.0000
etapa 107100 0.00000994 ecm:0.0000
etapa 107200 0.00000993 ecm:0.0000
etapa 107300 0.00000992 ecm:0.0000
etapa 107400 0.00000991 ecm:0.0000
etapa 107500 0.00000990 ecm:0.0000
etapa 107600 0.00000989 ecm:0.0000
etapa 107700 0.00000989 ecm:0.0000
etapa 107800 0.00000988 ecm:0.0000
etapa 107900 0.00000987 ecm:0.0000
etapa 108000 0.00000986 ecm:0.0000
etapa 108100 0.00000985 ecm:0.0000
etapa 108200 0.00000984 ecm:0.0000
etapa 108300 0.00000983 ecm:0.0000
etapa 108400 0.00000982 ecm:0.0000
etapa 108500 0.00000981 ecm:0.0000
etapa 108600 0.00000980 ecm:0.0000
etapa 108700 0.00000979 ecm:0.0000
etapa 108800 0.00000978 ecm:0.0000
etapa 108900 0.00000977 ecm:0.0000
etapa 109000 0.00000977 ecm:0.0000
etapa 109100 0.00000976 ecm:0.0000
etapa 109200 0.00000975 ecm:0.0000
etapa 109300 0.00000974 ecm:0.0000
etapa 109400 0.00000973 ecm:0.0000
etapa 109500 0.00000972 ecm:0.0000
etapa 109600 0.00000971 ecm:0.0000
etapa 109700 0.00000970 ecm:0.0000
etapa 109800 0.00000969 ecm:0.0000
etapa 109900 0.00000969 ecm:0.0000
etapa 110000 0.00000968 ecm:0.0000
etapa 110100 0.00000967 ecm:0.0000
etapa 110200 0.00000966 ecm:0.0000
etapa 110300 0.00000965 ecm:0.0000
etapa 110400 0.00000964 ecm:0.0000
etapa 110500 0.00000963 ecm:0.0000
etapa 110600 0.00000962 ecm:0.0000
etapa 110700 0.00000961 ecm:0.0000
etapa 110800 0.00000961 ecm:0.0000
etapa 110900 0.00000960 ecm:0.0000
etapa 111000 0.00000959 ecm:0.0000
etapa 111100 0.00000958 ecm:0.0000
etapa 111200 0.00000957 ecm:0.0000
etapa 111300 0.00000956 ecm:0.0000
etapa 111400 0.00000955 ecm:0.0000
etapa 111500 0.00000954 ecm:0.0000
etapa 111600 0.00000954 ecm:0.0000
etapa 111700 0.00000953 ecm:0.0000
etapa 111800 0.00000952 ecm:0.0000
etapa 111900 0.00000951 ecm:0.0000
etapa 112000 0.00000950 ecm:0.0000
etapa 112100 0.00000949 ecm:0.0000
etapa 112200 0.00000948 ecm:0.0000
etapa 112300 0.00000948 ecm:0.0000
etapa 112400 0.00000947 ecm:0.0000
etapa 112500 0.00000946 ecm:0.0000
etapa 112600 0.00000945 ecm:0.0000
etapa 112700 0.00000944 ecm:0.0000
etapa 112800 0.00000943 ecm:0.0000
etapa 112900 0.00000942 ecm:0.0000
etapa 113000 0.00000942 ecm:0.0000
etapa 113100 0.00000941 ecm:0.0000
etapa 113200 0.00000940 ecm:0.0000
etapa 113300 0.00000939 ecm:0.0000
etapa 113400 0.00000938 ecm:0.0000
etapa 113500 0.00000937 ecm:0.0000
etapa 113600 0.00000937 ecm:0.0000
etapa 113700 0.00000936 ecm:0.0000
etapa 113800 0.00000935 ecm:0.0000
etapa 113900 0.00000934 ecm:0.0000
etapa 114000 0.00000933 ecm:0.0000
etapa 114100 0.00000932 ecm:0.0000
etapa 114200 0.00000932 ecm:0.0000
etapa 114300 0.00000931 ecm:0.0000
etapa 114400 0.00000930 ecm:0.0000
etapa 114500 0.00000929 ecm:0.0000
etapa 114600 0.00000928 ecm:0.0000
etapa 114700 0.00000928 ecm:0.0000
etapa 114800 0.00000927 ecm:0.0000
etapa 114900 0.00000926 ecm:0.0000
etapa 115000 0.00000925 ecm:0.0000
etapa 115100 0.00000924 ecm:0.0000
etapa 115200 0.00000923 ecm:0.0000
etapa 115300 0.00000923 ecm:0.0000
etapa 115400 0.00000922 ecm:0.0000
etapa 115500 0.00000921 ecm:0.0000
etapa 115600 0.00000920 ecm:0.0000
etapa 115700 0.00000919 ecm:0.0000
etapa 115800 0.00000919 ecm:0.0000
etapa 115900 0.00000918 ecm:0.0000
etapa 116000 0.00000917 ecm:0.0000
etapa 116100 0.00000916 ecm:0.0000
etapa 116200 0.00000915 ecm:0.0000
etapa 116300 0.00000915 ecm:0.0000
etapa 116400 0.00000914 ecm:0.0000
etapa 116500 0.00000913 ecm:0.0000
etapa 116600 0.00000912 ecm:0.0000
etapa 116700 0.00000911 ecm:0.0000
etapa 116800 0.00000911 ecm:0.0000
etapa 116900 0.00000910 ecm:0.0000
etapa 117000 0.00000909 ecm:0.0000
etapa 117100 0.00000908 ecm:0.0000
etapa 117200 0.00000908 ecm:0.0000
etapa 117300 0.00000907 ecm:0.0000
etapa 117400 0.00000906 ecm:0.0000
etapa 117500 0.00000905 ecm:0.0000
etapa 117600 0.00000904 ecm:0.0000
etapa 117700 0.00000904 ecm:0.0000
etapa 117800 0.00000903 ecm:0.0000
etapa 117900 0.00000902 ecm:0.0000
etapa 118000 0.00000901 ecm:0.0000
etapa 118100 0.00000901 ecm:0.0000
etapa 118200 0.00000900 ecm:0.0000
etapa 118300 0.00000899 ecm:0.0000
etapa 118400 0.00000898 ecm:0.0000
etapa 118500 0.00000897 ecm:0.0000
etapa 118600 0.00000897 ecm:0.0000
etapa 118700 0.00000896 ecm:0.0000
etapa 118800 0.00000895 ecm:0.0000
etapa 118900 0.00000894 ecm:0.0000
etapa 119000 0.00000894 ecm:0.0000
etapa 119100 0.00000893 ecm:0.0000
etapa 119200 0.00000892 ecm:0.0000
etapa 119300 0.00000891 ecm:0.0000
etapa 119400 0.00000891 ecm:0.0000
etapa 119500 0.00000890 ecm:0.0000
etapa 119600 0.00000889 ecm:0.0000
etapa 119700 0.00000888 ecm:0.0000
etapa 119800 0.00000888 ecm:0.0000
etapa 119900 0.00000887 ecm:0.0000
etapa 120000 0.00000886 ecm:0.0000
etapa 120100 0.00000885 ecm:0.0000
etapa 120200 0.00000885 ecm:0.0000
etapa 120300 0.00000884 ecm:0.0000
etapa 120400 0.00000883 ecm:0.0000
etapa 120500 0.00000882 ecm:0.0000
etapa 120600 0.00000882 ecm:0.0000
etapa 120700 0.00000881 ecm:0.0000
etapa 120800 0.00000880 ecm:0.0000
etapa 120900 0.00000879 ecm:0.0000
etapa 121000 0.00000879 ecm:0.0000
etapa 121100 0.00000878 ecm:0.0000
etapa 121200 0.00000877 ecm:0.0000
etapa 121300 0.00000877 ecm:0.0000
etapa 121400 0.00000876 ecm:0.0000
etapa 121500 0.00000875 ecm:0.0000
etapa 121600 0.00000874 ecm:0.0000
etapa 121700 0.00000874 ecm:0.0000
etapa 121800 0.00000873 ecm:0.0000
etapa 121900 0.00000872 ecm:0.0000
etapa 122000 0.00000871 ecm:0.0000
etapa 122100 0.00000871 ecm:0.0000
etapa 122200 0.00000870 ecm:0.0000
etapa 122300 0.00000869 ecm:0.0000
etapa 122400 0.00000869 ecm:0.0000
etapa 122500 0.00000868 ecm:0.0000
etapa 122600 0.00000867 ecm:0.0000
etapa 122700 0.00000866 ecm:0.0000
etapa 122800 0.00000866 ecm:0.0000
etapa 122900 0.00000865 ecm:0.0000
etapa 123000 0.00000864 ecm:0.0000
etapa 123100 0.00000864 ecm:0.0000
etapa 123200 0.00000863 ecm:0.0000
etapa 123300 0.00000862 ecm:0.0000
etapa 123400 0.00000861 ecm:0.0000
etapa 123500 0.00000861 ecm:0.0000
etapa 123600 0.00000860 ecm:0.0000
etapa 123700 0.00000859 ecm:0.0000
etapa 123800 0.00000859 ecm:0.0000
etapa 123900 0.00000858 ecm:0.0000
etapa 124000 0.00000857 ecm:0.0000
etapa 124100 0.00000857 ecm:0.0000
etapa 124200 0.00000856 ecm:0.0000
etapa 124300 0.00000855 ecm:0.0000
etapa 124400 0.00000854 ecm:0.0000
